Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2020,7/1/2014,6/30/2015,Dorchester,60.6,FY2015
8/27/2020,7/1/2014,6/30/2015,Frederick,373.7,FY2015
8/27/2020,7/1/2014,6/30/2015,Garrett,45.8,FY2015
8/27/2020,7/1/2014,6/30/2015,Harford,574.8,FY2015
8/27/2020,7/1/2014,6/30/2015,Howard,1231.9,FY2015
8/27/2020,7/1/2014,6/30/2015,Kent,71.3,FY2015
8/27/2020,7/1/2014,6/30/2015,Montgomery,2094.9,FY2015
8/27/2020,7/1/2014,6/30/2015,Prince George's,1915,FY2015
8/27/2020,7/1/2014,6/30/2015,Queen Anne's,129.9,FY2015
8/27/2020,7/1/2014,6/30/2015,St. Mary's,307.1,FY2015
8/27/2020,7/1/2014,6/30/2015,Somerset,78.9,FY2015
8/27/2020,7/1/2014,6/30/2015,Talbot,140.5,FY2015
8/27/2020,7/1/2014,6/30/2015,Washington,329.1,FY2015
8/27/2020,7/1/2014,6/30/2015,Wicomico,270.4,FY2015
8/27/2020,7/1/2014,6/30/2015,Worcester,110.2,FY2015
8/27/2020,7/1/2015,6/30/2016,Maryland,623.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Allegany,168.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Anne Arundel,1364.7,FY2016
8/27/2020,7/1/2015,6/30/2016,Baltimore City,7675.5,FY2016
8/27/2020,7/1/2015,6/30/2016,Baltimore,1407.5,FY2016
8/27/2020,7/1/2015,6/30/2016,Calvert,424.2,FY2016
8/27/2020,7/1/2015,6/30/2016,Caroline,101.7,FY2016
8/27/2020,7/1/2015,6/30/2016,Carroll,378,FY2016
8/27/2020,7/1/2015,6/30/2016,Cecil,296.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Charles,342.9,FY2016
8/27/2020,7/1/2015,6/30/2016,Dorchester,60.6,FY2016
8/27/2020,7/1/2015,6/30/2016,Frederick,377.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Garrett,45.4,FY2016
8/27/2020,7/1/2015,6/30/2016,Harford,576.4,FY2016
8/27/2020,7/1/2015,6/30/2016,Howard,1251.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Kent,71.1,FY2016
8/27/2020,7/1/2015,6/30/2016,Montgomery,2113.8,FY2016
8/27/2020,7/1/2015,6/30/2016,Prince George's,1939.8,FY2016
8/27/2020,7/1/2015,6/30/2016,Queen Anne's,130.1,FY2016
8/27/2020,7/1/2015,6/30/2016,St. Mary's,310,FY2016
8/27/2020,7/1/2015,6/30/2016,Somerset,79,FY2016
8/27/2020,7/1/2015,6/30/2016,Talbot,140.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Washington,329.9,FY2016
8/27/2020,7/1/2015,6/30/2016,Wicomico,271.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Worcester,110,FY2016
8/27/2020,7/1/2016,6/30/2017,Maryland,626.4,FY2017
8/27/2020,7/1/2016,6/30/2017,Allegany,166.8,FY2017
8/27/2020,7/1/2016,6/30/2017,Anne Arundel,1376.5,FY2017
8/27/2020,7/1/2016,6/30/2017,Baltimore City,7594.2,FY2017
8/27/2020,7/1/2016,6/30/2017,Baltimore,1414,FY2017
8/27/2020,7/1/2016,6/30/2017,Calvert,426.7,FY2017
8/27/2020,7/1/2016,6/30/2017,Caroline,102.4,FY2017
8/27/2020,7/1/2016,6/30/2017,Carroll,378.8,FY2017
8/27/2020,7/1/2016,6/30/2017,Cecil,296.9,FY2017
8/27/2020,7/1/2016,6/30/2017,Charles,347.1,FY2017
8/27/2020,7/1/2016,6/30/2017,Dorchester,60.4,FY2017
8/27/2020,7/1/2016,6/30/2017,Frederick,381.7,FY2017
8/27/2020,7/1/2016,6/30/2017,Garrett,45.3,FY2017
8/27/2020,7/1/2016,6/30/2017,Harford,579.2,FY2017
8/27/2020,7/1/2016,6/30/2017,Howard,1269.7,FY2017
8/27/2020,7/1/2016,6/30/2017,Kent,70.9,FY2017
8/27/2020,7/1/2016,6/30/2017,Montgomery,2127.9,FY2017
8/27/2020,7/1/2016,6/30/2017,Prince George's,1956.7,FY2017
8/27/2020,7/1/2016,6/30/2017,Queen Anne's,130.2,FY2017
8/27/2020,7/1/2016,6/30/2017,St. Mary's,312,FY2017
8/27/2020,7/1/2016,6/30/2017,Somerset,79.2,FY2017
8/27/2020,7/1/2016,6/30/2017,Talbot,139.5,FY2017
8/27/2020,7/1/2016,6/30/2017,Washington,331.9,FY2017
8/27/2020,7/1/2016,6/30/2017,Wicomico,272.3,FY2017
8/27/2020,7/1/2016,6/30/2017,Worcester,110.1,FY2017
8/27/2020,7/1/2017,6/30/2018,Maryland,629.8,FY2018
8/27/2020,7/1/2017,6/30/2018,Allegany,164.6,FY2018
8/27/2020,7/1/2017,6/30/2018,Anne Arundel,1387.4,FY2018
8/27/2020,7/1/2017,6/30/2018,Baltimore City,7520.3,FY2018
8/27/2020,7/1/2017,6/30/2018,Baltimore,1418.6,FY2018
8/27/2020,7/1/2017,6/30/2018,Calvert,428.4,FY2018
8/27/2020,7/1/2017,6/30/2018,Caroline,103.2,FY2018
8/27/2020,7/1/2017,6/30/2018,Carroll,380.8,FY2018
8/27/2020,7/1/2017,6/30/2018,Cecil,296.7,FY2018
8/27/2020,7/1/2017,6/30/2018,Charles,352.5,FY2018
8/27/2020,7/1/2017,6/30/2018,Dorchester,60.2,FY2018
8/27/2020,7/1/2017,6/30/2018,Frederick,388.5,FY2018
8/27/2020,7/1/2017,6/30/2018,Garrett,45.1,FY2018
8/27/2020,7/1/2017,6/30/2018,Harford,583.6,FY2018
8/27/2020,7/1/2017,6/30/2018,Howard,1286.7,FY2018
8/27/2020,7/1/2017,6/30/2018,Kent,70.1,FY2018
8/27/2020,7/1/2017,6/30/2018,Montgomery,2145.9,FY2018
8/27/2020,7/1/2017,6/30/2018,Prince George's,1971.9,FY2018
8/27/2020,7/1/2017,6/30/2018,Queen Anne's,131.2,FY2018
8/27/2020,7/1/2017,6/30/2018,St. Mary's,313.9,FY2018
8/27/2020,7/1/2017,6/30/2018,Somerset,79.1,FY2018
8/27/2020,7/1/2017,6/30/2018,Talbot,139.2,FY2018
8/27/2020,7/1/2017,6/30/2018,Washington,333.8,FY2018
8/27/2020,7/1/2017,6/30/2018,Wicomico,272.8,FY2018
8/27/2020,7/1/2017,6/30/2018,Worcester,110.6,FY2018
8/27/2020,7/1/2018,6/30/2019,Maryland,632.4,FY2019
8/27/2020,7/1/2018,6/30/2019,Allegany,163.2,FY2019
8/27/2020,7/1/2018,6/30/2019,Anne Arundel,1399.1,FY2019
8/27/2020,7/1/2018,6/30/2019,Baltimore City,7422.6,FY2019
8/27/2020,7/1/2018,6/30/2019,Baltimore,1422.5,FY2019
8/27/2020,7/1/2018,6/30/2019,Calvert,431.3,FY2019
8/27/2020,7/1/2018,6/30/2019,Caroline,103.8,FY2019
8/27/2020,7/1/2018,6/30/2019,Carroll,383.3,FY2019
8/27/2020,7/1/2018,6/30/2019,Cecil,297.7,FY2019
8/27/2020,7/1/2018,6/30/2019,Charles,357.7,FY2019
8/27/2020,7/1/2018,6/30/2019,Dorchester,60,FY2019
8/27/2020,7/1/2018,6/30/2019,Frederick,396.7,FY2019
8/27/2020,7/1/2018,6/30/2019,Garrett,45,FY2019
8/27/2020,7/1/2018,6/30/2019,Harford,589,FY2019
8/27/2020,7/1/2018,6/30/2019,Howard,1302.4,FY2019
8/27/2020,7/1/2018,6/30/2019,Kent,70,FY2019
